Extraction_ID,Primer23S,Plate,Well,Crypto_Number,Type,Location,Sitename,Sitenumber,Lat,Long,Habitat,Date,Month,Time,Abbrev,ID_number,ID,Family,Genus,Species,Gen_Spe,Tax,Weight,TL,SL,GL,SI,Diet,Micriobiome,AE1,AE2,Gonads,GW,LW,Otolith,Sex,Extraction_status,Extraction_date,Notes
G01,23S,P07,E08,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G01,MOO18_G01,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.57,39,31.6,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G02,23S,P07,E09,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G02,MOO18_G02,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.287,31,24.2,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G03,23S,P07,E10,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G03,MOO18_G03,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.442,36.2,29,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G04,23S,P07,E11,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G04,MOO18_G04,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.412,35.5,28,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G05,23S,P07,E12,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G05,MOO18_G05,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.534,38,30.1,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G06,23S,P07,F01,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G06,MOO18_G06,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.803,42.8,33.9,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G07,23S,P07,F02,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G07,MOO18_G07,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.468,36.6,28.9,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G08,23S,P07,F03,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G08,MOO18_G08,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.442,36.5,28,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G09,23S,P07,F04,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G09,MOO18_G09,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.444,35,28,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G10,23S,P07,F05,NA,Crypto,Moorea,PublicBeachR,NA,NA,NA,Lagoon,7/9/18,July,NA,MOO18,G10,MOO18_G10,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.371,34,27,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/9/18,
G11,23S,P07,F06,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G11,MOO18_G11,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,1.508,51.2,41.5,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G12,23S,P07,F07,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G12,MOO18_G12,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,1.086,48,37.7,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G13,23S,P07,F08,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G13,MOO18_G13,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.655,40.4,32.5,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G14,23S,P07,F09,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G14,MOO18_G14,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.434,36,28.5,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G15,23S,P07,F10,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G15,MOO18_G15,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.502,38,30.2,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G16,23S,P07,F11,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G16,MOO18_G16,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.744,44.8,33.9,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G17,23S,P07,F12,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G17,MOO18_G17,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.639,40,31.6,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G18,23S,P07,G01,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G18,MOO18_G18,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.509,39.1,30,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G19,23S,P07,G02,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G19,MOO18_G19,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.361,33.1,26,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G20,23S,P07,G03,NA,Crypto,Moorea,ThreeBuoys,NA,NA,NA,Lagoon,7/10/18,July,NA,MOO18,G20,MOO18_G20,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.238,29.2,23.6,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/10/18,
G21,23S,P07,G04,NA,Crypto,Moorea,PastMotu,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G21,MOO18_G21,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.689,40.6,32,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G22,23S,P07,G05,NA,Crypto,Moorea,PastMotu,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G22,MOO18_G22,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.539,37.6,29.3,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G23,23S,P07,G06,NA,Crypto,Moorea,PastMotu,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G23,MOO18_G23,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.266,30,23.1,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G24,23S,P07,G07,NA,Crypto,Moorea,PastMotu,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G24,MOO18_G24,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.316,32.4,26,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G25,23S,P07,G08,NA,Crypto,Moorea,PastMotu,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G25,MOO18_G25,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.218,27.6,23,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G26,23S,P07,G09,NA,Crypto,Moorea,PastMotu,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G26,MOO18_G26,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.478,36.1,27.5,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G28,23S,P07,G11,NA,Crypto,Moorea,PastMotu,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G28,MOO18_G28,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.32,31.9,25,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G30,23S,P07,G12,NA,Crypto,Moorea,PastMotu,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G30,MOO18_G30,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.254,29.9,23.1,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G31,23S,P07,H01,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G31,MOO18_G31,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.608,39.9,31.3,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G32,23S,P07,H02,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G32,MOO18_G32,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.801,45.3,35.2,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G33,23S,P07,H03,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G33,MOO18_G33,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.436,36,29,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G34,23S,P07,H04,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G34,MOO18_G34,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.304,33,26,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G35,23S,P07,H05,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G35,MOO18_G35,Gobiidae,Fusigobius,neophytus,Fusigobius neophytus,FUSINEOP,0.223,30,23.7,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G36,23S,P07,H06,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G36,MOO18_G36,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.697,42,32.5,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G37,23S,P07,H07,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G37,MOO18_G37,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.774,42.5,32.2,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G38,23S,P07,H08,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G38,MOO18_G38,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.706,39.8,31.1,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G39,23S,P07,H09,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G39,MOO18_G39,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.501,37.2,28.9,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,
G40,23S,P07,H10,NA,Crypto,Moorea,PublicBeachL,NA,NA,NA,Lagoon,7/14/18,July,NA,MOO18,G40,MOO18_G40,Gobiidae,Gnatholepis,cauerensis,Gnatholepis cauerensis,GNATCAUE,0.608,39.8,30.4,NA,N,Y,N,N,N,N,NA,NA,NA,NA,done,7/14/18,